Id,SalePrice
1461,127951.54782865074
1462,145418.1500980469
1463,172982.5789811355
1464,182801.3499641687
1465,210777.09646094363
1466,178602.81212602582
1467,162511.52807973
1468,172954.74266191
1469,178233.37912604332
1470,125774.58538456746
1471,199550.16111841646
1472,110652.75668247887
1473,113760.42424962304
1474,164958.03124825517
1475,142997.01302919307
1476,353622.04677990556
1477,262008.832016773
1478,305665.96384110954
1479,299271.8367631182
1480,441532.83277880907
1481,290342.51625396585
1482,214104.06296182098
1483,176797.3852859541
1484,183881.10541927782
1485,175775.55547769662
1486,197387.11759435563
1487,303160.8425383922
1488,254533.71205587243
1489,196990.67534925652
1490,200132.22950448652
1491,197221.67112002542
1492,107406.46232921677
1493,175352.23057043838
1494,297327.6021835103
1495,294543.34639043524
1496,227471.10060635567
1497,194774.14955697575
1498,167080.37418433945
1499,167338.0457021857
1500,155024.75447192191
1501,176356.54822411112
1502,170241.80934365565
1503,281681.7599956125
1504,227599.06611571612
1505,217992.7488421054
1506,179910.0428875828
1507,210213.30271711113
1508,189370.34881638264
1509,161615.92089784006
1510,147316.3350069406
1511,147174.92998177384
1512,170771.67635990097
1513,163569.38258471686
1514,156025.47448896142
1515,197354.96528000847
1516,171686.7269132381
1517,143186.05839590845
1518,146273.94761398077
1519,221602.75490599836
1520,138774.20902364023
1521,142085.30229702214
1522,170558.6143954727
1523,116469.01332822166
1524,125290.60100831214
1525,126765.43267193944
1526,126883.48812530206
1527,113247.80506408389
1528,122898.52423726495
1529,142741.25624231994
1530,160453.96109697619
1531,138077.10151953946
1532,116550.07552289231
1533,145418.87586868793
1534,119106.5973924448
1535,154262.119385967
1536,128024.32588783876
1537,106938.64396927264
1538,187853.11366417079
1539,231654.76735509015
1540,132416.13758317172
1541,152838.59839626896
1542,144693.71127982737
1543,197219.2970860831
1544,94118.62440285743
1545,112549.4091975638
1546,128726.34639345857
1547,141436.3861621894
1548,132157.38280080145
1549,116627.97331734837
1550,155589.7909159427
1551,127527.78213587988
1552,157477.0598674523
1553,149341.64732404915
1554,115997.30268676726
1555,163821.3928371171
1556,103347.19375659844
1557,138116.79675780213
1558,102424.87720942163
1559,131105.54630286823
1560,153098.53154950595
1561,167466.97287346912
1562,124303.27637038058
1563,122610.2639998124
1564,153993.25701085525
1565,154742.19709794683
1566,217572.74870454625
1567,97140.93462004805
1568,198194.65356072146
1569,153868.6742951804
1570,132434.04245295154
1571,144876.7336450995
1572,141256.53026562493
1573,231523.00158298507
1574,139595.36152382896
1575,212099.22407216489
1576,225215.78069632247
1577,194762.54944537216
1578,159931.6250014023
1579,137070.65929966426
1580,189081.0368311985
1581,138108.0384388198
1582,129728.65592504658
1583,324923.15485404653
1584,241788.6453883053
1585,141347.26117517974
1586,89116.31758980927
1587,116614.5052878294
1588,142728.06210680687
1589,105490.5916889618
1590,136312.0849482711
1591,112403.50926223419
1592,132285.10373897816
1593,128850.93032815217
1594,140569.26830024284
1595,139636.96065073917
1596,225943.83773913808
1597,159538.5773226216
1598,187098.20988002289
1599,196136.08142798496
1600,208849.92496354767
1601,102719.43796993354
1602,120254.18179096545
1603,106273.40148089326
1604,282589.9280836186
1605,262944.3349635036
1606,158364.30235555102
1607,169107.52179450868
1608,216795.74966003644
1609,192617.39764723025
1610,160952.3416057067
1611,148966.67403207696
1612,173085.09617001502
1613,169000.49590757675
1614,122196.2875958841
1615,98944.27397066238
1616,98559.90184446421
1617,102329.15623249309
1618,124171.14919329778
1619,130688.68686339985
1620,164538.45027346382
1621,135912.82064085
1622,146757.00168400808
1623,275382.7760377751
1624,201896.76517333832
1625,128855.99744009892
1626,172856.10953094065
1627,180852.66330134007
1628,283069.30896464025
1629,179723.4024292943
1630,310519.4782649855
1631,219529.89045302212
1632,246670.63074433824
1633,172366.37722901115
1634,181598.06339749467
1635,181890.3218909233
1636,161549.68221128246
1637,167227.89003763834
1638,209277.43277433375
1639,173526.78054416415
1640,233573.4464402003
1641,175822.5863646204
1642,208194.7347939481
1643,236642.126975217
1644,224816.2869960809
1645,171557.3532811088
1646,151769.58047787336
1647,168729.2524028547
1648,142134.29098654946
1649,133572.4219551414
1650,124339.05346124124
1651,121428.24768289295
1652,110934.70343832044
1653,111241.08776446339
1654,166090.85072544956
1655,162447.27253588353
1656,161755.33171019438
1657,166090.85072544956
1658,164751.30050340985
1659,143759.307844187
1660,148289.50505169143
1661,410199.7530326791
1662,354724.43071549205
1663,370162.8945153031
1664,406781.3065537095
1665,323333.5558097488
1666,318668.1411695213
1667,326445.47794157115
1668,333591.2114469783
1669,309199.98776831804
1670,346548.32758645655
1671,248442.83622483583
1672,438791.7744243528
1673,293866.65236472577
1674,257426.61569987063
1675,179859.75630478185
1676,177991.00453747
1677,198795.92973318716
1678,415943.86962270294
1679,365102.8247753126
1680,306527.95858776366
1681,249573.34242777707
1682,300728.897226838
1683,195048.63273056046
1684,185114.85820531857
1685,179962.9949902074
1686,190015.64962793843
1687,173337.3439160197
1688,191730.15330998035
1689,194523.22282960432
1690,191671.999346931
1691,178207.3191917191
1692,273154.147350788
1693,173955.6122804089
1694,179490.99847078946
1695,176281.35547164702
1696,269800.4895220983
1697,174416.33001928768
1698,324591.7489128
1699,316028.8035109532
1700,242432.05521352243
1701,256891.9729149216
1702,262774.44357184035
1703,255650.36742115696
1704,292650.70763301535
1705,228269.10183622816
1706,409293.709709138
1707,203495.36941433864
1708,198331.41377491746
